UNITID,University Name,State,Institution Type,Average Cost,Median Debt,Earnings (10 Years Out),Earnings (6 Years Out),Academic Year
129808,Three Rivers Community College,CT,Public,12276.0,10000.0,36751.0,34386.0,2019-20
129923,Lincoln Technical Institute-New Britain,CT,Private For-Profit,,11250.0,36416.0,34481.0,2019-20
129932,New England Tractor Trailer Training School of Connecticut,CT,Private For-Profit,,6333.0,50317.0,40213.0,2019-20
129941,University of New Haven,CT,Private Non-Profit,56527.0,27000.0,58152.0,49240.0,2019-20
130004,Connecticut State Community College Norwalk,CT,Public,13271.0,6000.0,37554.0,31214.0,2019-20
130040,Northwestern Connecticut Community College,CT,Public,11858.0,4625.0,42915.0,32788.0,2019-20
130174,Porter & Chester Institute,CT,Private For-Profit,28055.0,12350.0,42787.0,36524.0,2019-20
130183,Post University,CT,Private For-Profit,28930.0,29352.0,40615.0,29592.0,2019-20
130226,Quinnipiac University,CT,Private Non-Profit,64618.0,26000.0,81553.0,65742.0,2019-20
130253,Sacred Heart University,CT,Private Non-Profit,59679.0,25561.0,74642.0,59090.0,2019-20
130314,University of Saint Joseph,CT,Private Non-Profit,47812.0,27000.0,54455.0,48194.0,2019-20
130396,Connecticut State Community College Gateway,CT,Public,12027.0,6846.0,37888.0,33432.0,2019-20
130493,Southern Connecticut State University,CT,Public,24698.0,21500.0,55682.0,44062.0,2019-20
130509,Stone Academy-West Haven,CT,Private For-Profit,,18845.0,29448.0,26368.0,2019-20
130590,Trinity College,CT,Private Non-Profit,74042.0,23000.0,76456.0,71516.0,2019-20
130606,Connecticut State Community College Tunxis,CT,Public,12848.0,8088.0,35693.0,35955.0,2019-20
130697,Wesleyan University,CT,Private Non-Profit,72639.0,15500.0,72547.0,59414.0,2019-20
130776,Western Connecticut State University,CT,Public,23153.0,23763.0,57005.0,44788.0,2019-20
130794,Yale University,CT,Private Non-Profit,73900.0,13142.0,95961.0,78106.0,2019-20
132408,Baptist University of Florida,FL,Private Non-Profit,18260.0,18550.0,38772.0,32776.0,2019-20
132471,Barry University,FL,Private Non-Profit,43741.0,28235.0,54203.0,47989.0,2019-20
132602,Bethune-Cookman University,FL,Private Non-Profit,28618.0,31000.0,38237.0,29210.0,2019-20
132657,Lynn University,FL,Private Non-Profit,54854.0,17803.0,45722.0,37576.0,2019-20
132693,Eastern Florida State College,FL,Public,9520.0,12000.0,36306.0,29858.0,2019-20
132709,Broward College,FL,Public,18469.0,7250.0,39780.0,32056.0,2019-20
132842,Albizu University-Miami,FL,Private Non-Profit,25500.0,5500.0,41451.0,37147.0,2019-20
132851,College of Central Florida,FL,Public,11657.0,12500.0,35808.0,30130.0,2019-20
132879,Johnson University Florida,FL,Private Non-Profit,26345.0,23250.0,38008.0,32147.0,2019-20
132903,University of Central Florida,FL,Public,21402.0,18635.0,54850.0,45496.0,2019-20
133386,Daytona State College,FL,Public,12836.0,8560.0,35443.0,29942.0,2019-20
133465,South University-West Palm Beach,FL,Private For-Profit,28960.0,25379.0,35237.0,28684.0,2019-20
133492,Eckerd College,FL,Private Non-Profit,61499.0,26940.0,47708.0,38265.0,2019-20
133508,Florida SouthWestern State College,FL,Public,13958.0,8050.0,40800.0,34933.0,2019-20
133553,Embry-Riddle Aeronautical University-Daytona Beach,FL,Private Non-Profit,53250.0,24250.0,82012.0,65864.0,2019-20
133650,Florida Agricultural and Mechanical University,FL,Public,23029.0,25000.0,43616.0,35527.0,2019-20
133669,Florida Atlantic University,FL,Public,20693.0,17500.0,53644.0,44590.0,2019-20
133702,Florida State College at Jacksonville,FL,Public,9133.0,14058.0,39024.0,33522.0,2019-20
133711,Flagler College,FL,Private Non-Profit,34495.0,23250.0,46810.0,40607.0,2019-20
133809,Florida College,FL,Private Non-Profit,29673.0,12000.0,44859.0,37076.0,2019-20
133845,Concorde Career Institute-Jacksonville,FL,Private For-Profit,,9500.0,26128.0,30722.0,2019-20
133854,Concorde Career Institute-Miramar,FL,Private For-Profit,,9500.0,30394.0,30569.0,2019-20
133863,Concorde Career Institute-Tampa,FL,Private For-Profit,,9500.0,28657.0,30449.0,2019-20
133872,AdventHealth University,FL,Private Non-Profit,24683.0,25034.0,63854.0,56663.0,2019-20
133881,Florida Institute of Technology,FL,Private Non-Profit,58726.0,27000.0,53864.0,36415.0,2019-20
133951,Florida International University,FL,Public,19409.0,17418.0,57946.0,46662.0,2019-20
133960,The College of the Florida Keys,FL,Public,16220.0,7750.0,36538.0,31374.0,2019-20
133979,Florida Memorial University,FL,Private Non-Profit,27460.0,31000.0,36297.0,27882.0,2019-20
133997,Florida Career College-Miami,FL,Private For-Profit,,9500.0,27921.0,24598.0,2019-20
134024,Florida School of Massage,FL,Private For-Profit,,7073.0,18057.0,22353.0,2019-20
134079,Florida Southern College,FL,Private Non-Profit,51143.0,25000.0,49449.0,43834.0,2019-20
134097,Florida State University,FL,Public,22026.0,18750.0,57007.0,47426.0,2019-20
134130,University of Florida,FL,Public,21151.0,15580.0,69468.0,54871.0,2019-20
134228,Fort Pierce Beauty Academy,FL,Private For-Profit,,7667.0,19733.0,18214.0,2019-20
134237,Full Sail University,FL,Private For-Profit,35148.0,27000.0,43332.0,28427.0,2019-20
134343,Gulf Coast State College,FL,Public,8950.0,6700.0,35318.0,31340.0,2019-20
